,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageCars,GarageQual,PavedDrive,WoodDeckSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalBath,TotalPorch
388,389,20,RL,93.0,9382,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,125.0,Gd,TA,PConc,Gd,TA,No,1468,GasA,Ex,Y,SBrkr,1479,3,1,Gd,6,Typ,0,Attchd,2,TA,Y,120,7,2008,WD,Normal,191000,2.0,25
389,390,60,RL,96.0,12474,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,10,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,272.0,Ex,TA,PConc,Ex,TA,Av,1682,GasA,Ex,Y,SBrkr,2332,3,1,Ex,9,Typ,1,BuiltIn,3,TA,Y,196,8,2008,New,Partial,426000,3.5,134
390,391,50,RL,50.0,8405,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Gd,No,861,GasA,Ex,Y,SBrkr,1367,4,1,TA,7,Typ,0,Detchd,1,TA,Y,0,4,2008,WD,Normal,119000,2.0,242
391,392,60,RL,71.0,12209,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,No,804,GasA,Ex,Y,SBrkr,1961,3,1,Gd,7,Typ,1,BuiltIn,2,TA,Y,125,6,2009,WD,Normal,215000,3.5,192
392,393,20,RL,69.0,8339,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1959,1959,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,0,GasA,TA,Y,SBrkr,882,3,1,TA,5,Typ,0,Attchd,1,TA,Y,0,7,2007,WD,Normal,106500,1.0,0
393,394,30,RL,69.0,7446,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,1Fam,1Story,4,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,788,GasA,TA,Y,FuseA,788,2,1,TA,4,Typ,2,NA,0,NA,Y,0,4,2006,WD,Abnorml,100000,1.0,0
394,395,50,RL,60.0,10134,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,735,GasA,Gd,Y,FuseA,1034,2,1,TA,5,Typ,0,Detchd,1,TA,Y,0,7,2007,WD,Normal,109000,1.0,39
395,396,20,RL,68.0,9571,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Av,1144,GasA,TA,Y,SBrkr,1144,3,1,TA,6,Typ,0,Attchd,1,TA,Y,44,6,2010,WD,Normal,129000,2.0,0
396,397,20,RL,60.0,7200,Pave,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Av,894,GasA,TA,Y,SBrkr,894,2,1,TA,6,Typ,0,Detchd,2,TA,Y,215,9,2009,WD,Normal,123000,1.0,0
397,398,60,RL,69.0,7590,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,1Fam,2Story,5,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,BrkFace,288.0,TA,TA,CBlock,TA,TA,No,864,GasA,TA,Y,SBrkr,1812,4,1,TA,8,Typ,1,Attchd,1,TA,Y,0,7,2007,WD,Normal,169500,2.0,168
398,399,30,RM,60.0,8967,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,1Fam,1Story,5,2,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,Fa,Po,No,961,GasA,Gd,Y,Mix,1077,2,1,TA,6,Maj2,0,Detchd,1,Po,N,0,11,2007,WD,Abnorml,67000,1.0,0
399,400,60,FV,65.0,8125,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Gd,TA,No,1092,GasA,Ex,Y,SBrkr,1550,2,1,Gd,7,Typ,0,Attchd,2,TA,Y,0,10,2009,WD,Normal,241000,3.0,168
400,401,120,RL,38.0,14963,Pave,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,1260,GasA,Ex,Y,SBrkr,1288,1,1,Ex,4,Typ,2,Attchd,2,TA,Y,120,12,2008,WD,Normal,245500,2.5,254
401,402,20,RL,65.0,8767,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,1310,GasA,Ex,Y,SBrkr,1310,3,1,Gd,6,Typ,1,Attchd,2,TA,Y,0,7,2006,New,Partial,164990,2.0,0
402,403,30,RL,60.0,10200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,672,GasA,Ex,Y,SBrkr,672,2,1,TA,4,Typ,0,Detchd,1,TA,N,168,8,2008,WD,Normal,108000,1.0,0
403,404,60,RL,93.0,12090,Pave,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,650.0,Gd,TA,PConc,Gd,TA,No,1141,GasA,Gd,Y,SBrkr,2263,4,1,Gd,10,Typ,1,BuiltIn,2,TA,Y,144,7,2006,WD,Abnorml,258000,2.5,123
404,405,60,RL,69.0,10364,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,806,GasA,Gd,Y,SBrkr,1572,3,1,TA,7,Typ,1,BuiltIn,2,TA,Y,0,5,2007,WD,Normal,168000,2.5,40
405,406,20,RL,69.0,9991,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,1281,GasA,Ex,Y,SBrkr,1620,3,1,TA,8,Min1,1,Attchd,2,TA,Y,120,6,2009,WD,Normal,150000,3.0,78
406,407,50,RL,51.0,10480,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,1064,GasA,Ex,Y,FuseA,1639,3,1,TA,6,Maj2,0,Detchd,1,TA,Y,0,3,2008,WD,Normal,115000,1.0,0
407,408,70,RL,63.0,15576,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,1Fam,2Story,6,7,1915,1976,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,BrkTil,Gd,TA,No,840,GasA,Ex,Y,SBrkr,1680,4,1,TA,8,Typ,0,Attchd,1,TA,Y,0,3,2008,WD,Normal,177000,2.0,160
408,409,60,RL,109.0,14154,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,Gd,No,1063,GasA,Ex,Y,SBrkr,2172,3,1,Gd,9,Typ,1,Attchd,3,TA,Y,192,8,2007,New,Partial,280000,2.5,62
409,410,60,FV,85.0,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,2Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,100.0,Gd,TA,PConc,Ex,TA,No,1034,GasA,Ex,Y,SBrkr,2078,3,1,Ex,8,Typ,1,Attchd,3,TA,Y,0,4,2008,New,Partial,339750,3.5,102
410,411,20,RL,68.0,9571,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,TA,Fa,No,1276,GasA,TA,Y,FuseA,1276,3,1,TA,5,Mod,0,Attchd,1,TA,Y,0,6,2009,COD,Abnorml,60000,1.0,0
411,412,190,RL,100.0,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,1056,GasA,TA,N,SBrkr,1056,3,1,TA,5,Typ,0,Attchd,2,TA,Y,264,1,2006,WD,Normal,145000,2.0,0
412,413,20,FV,69.0,4403,Pave,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,Stone,432.0,Ex,TA,PConc,Ex,TA,Av,1470,GasA,Ex,Y,SBrkr,1478,2,1,Gd,7,Typ,1,Attchd,2,TA,Y,0,6,2010,New,Partial,222000,3.5,144
413,414,30,RM,56.0,8960,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,1008,GasA,Gd,Y,FuseA,1028,2,1,TA,5,Typ,1,Detchd,2,TA,Y,0,3,2010,WD,Normal,115000,1.0,130
414,415,60,RL,59.0,11228,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,1080,GasA,Ex,Y,SBrkr,2097,3,1,Gd,9,Typ,1,Attchd,3,TA,Y,196,12,2008,WD,Normal,228000,3.0,187
415,416,20,RL,73.0,8899,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,1340,GasA,Ex,Y,SBrkr,1340,3,1,Gd,6,Typ,0,Attchd,2,TA,Y,100,8,2007,New,Partial,181134,2.0,30
416,417,60,RL,74.0,7844,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,TA,No,672,GasA,TA,Y,SBrkr,1400,3,1,TA,6,Typ,1,Attchd,2,TA,Y,0,3,2006,WD,Normal,149500,1.5,0
417,418,70,RL,86.0,22420,Pave,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,None,0.0,TA,TA,BrkTil,Gd,TA,No,1370,GasW,TA,N,FuseA,2624,4,1,TA,10,Typ,1,Detchd,3,TA,N,0,11,2007,WD,Normal,239000,3.5,0
418,419,50,RL,60.0,8160,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,756,GasA,Fa,N,FuseF,1134,3,1,TA,7,Typ,0,Detchd,1,TA,P,0,4,2007,WD,AdjLand,126000,2.5,0
419,420,20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,1056,GasA,Ex,Y,SBrkr,1056,3,1,TA,6,Typ,1,Attchd,1,TA,Y,0,7,2010,WD,Normal,142000,2.0,269
420,421,90,RM,78.0,7060,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,200.0,TA,Gd,PConc,Gd,Gd,Gd,1344,GasA,Ex,Y,SBrkr,1344,2,2,TA,8,Typ,0,Attchd,4,TA,Y,0,11,2008,WD,Alloca,206300,4.0,0
421,422,20,RL,69.0,16635,Pave,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,1Fam,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,Stone,126.0,Gd,TA,CBlock,Gd,TA,No,1602,GasA,Gd,Y,SBrkr,1602,3,1,Gd,8,Typ,1,Attchd,2,TA,Y,240,6,2009,WD,Normal,215000,2.5,0
422,423,20,RL,100.0,21750,Pave,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,1Fam,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,988,GasA,Ex,Y,FuseA,988,2,1,TA,4,Typ,0,Attchd,2,TA,N,0,2,2008,WD,Normal,113000,1.0,0
423,424,60,RL,80.0,9200,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,473.0,Gd,TA,PConc,Gd,TA,No,1470,GasA,Gd,Y,SBrkr,2630,4,1,Gd,8,Typ,1,Attchd,3,TA,Y,0,6,2008,WD,Normal,315000,3.5,66
424,425,20,RL,72.0,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,1196,GasA,Gd,Y,FuseA,1196,2,1,TA,6,Typ,1,Attchd,1,TA,Y,0,5,2008,WD,Normal,139000,2.0,44
425,426,60,RM,60.0,3378,Pave,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,651,GasA,Gd,Y,SBrkr,1389,3,1,TA,6,Typ,2,Detchd,1,TA,P,0,9,2009,WD,Normal,135000,1.5,126
426,427,80,RL,69.0,12800,Pave,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,1Fam,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145.0,Gd,TA,PConc,Gd,TA,Gd,1518,GasA,Gd,Y,SBrkr,1644,2,1,Gd,5,Typ,1,Attchd,2,TA,Y,80,8,2009,WD,Normal,275000,3.5,396
427,428,20,RL,77.0,8593,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,907,GasA,Ex,Y,SBrkr,907,3,1,TA,5,Typ,0,Detchd,1,TA,Y,0,7,2008,WD,Normal,109008,1.0,0
428,429,20,RL,64.0,6762,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,108.0,Gd,TA,PConc,Gd,TA,No,1208,GasA,Ex,Y,SBrkr,1208,2,1,Gd,6,Typ,0,Attchd,2,TA,Y,105,9,2007,New,Partial,195400,3.0,54
429,430,20,RL,130.0,11457,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,1Fam,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Mn,1392,GasA,TA,Y,SBrkr,1412,3,1,Gd,6,Typ,1,Attchd,2,TA,Y,0,3,2009,WD,Normal,175000,3.0,169
430,431,160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,483,GasA,TA,Y,SBrkr,987,2,1,TA,4,Typ,0,Detchd,1,TA,Y,0,7,2008,COD,Abnorml,85400,1.5,0
431,432,50,RM,60.0,5586,Pave,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,901,GasA,Gd,Y,SBrkr,1198,4,1,TA,7,Typ,0,NA,0,NA,N,0,9,2008,ConLD,Abnorml,79900,1.0,98
432,433,160,RM,24.0,1920,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,376.0,TA,TA,CBlock,TA,TA,No,765,GasA,Ex,Y,SBrkr,1365,2,1,TA,6,Min1,0,Detchd,2,TA,Y,240,8,2007,WD,Normal,122500,2.5,36
433,434,60,RL,100.0,10839,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,926,GasA,Ex,Y,SBrkr,1604,3,1,TA,7,Typ,1,Attchd,2,TA,Y,0,7,2008,WD,Normal,181000,2.5,36
434,435,180,RM,21.0,1890,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,Gd,TA,Av,630,GasA,Gd,Y,SBrkr,630,1,1,TA,3,Typ,0,NA,0,NA,Y,88,6,2008,WD,Normal,81000,2.0,0
435,436,60,RL,43.0,10667,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,799,GasA,Ex,Y,SBrkr,1661,3,1,Gd,6,Typ,1,Attchd,2,TA,Y,158,4,2009,ConLw,Normal,212000,3.5,61
436,437,50,RM,40.0,4400,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,648,GasA,TA,Y,FuseA,1118,2,1,TA,6,Typ,0,Detchd,2,TA,Y,0,10,2006,WD,Normal,116000,1.0,0
437,438,45,RM,50.0,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,TA,TA,No,884,GasA,Gd,Y,SBrkr,904,2,1,TA,4,Typ,0,Detchd,1,TA,Y,0,1,2009,WD,Normal,119000,1.0,105
438,439,30,RL,40.0,4280,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,0.0,TA,TA,PConc,TA,TA,No,440,GasA,TA,N,SBrkr,694,2,1,Gd,4,Typ,1,Detchd,1,Gd,P,0,3,2007,WD,Normal,90350,1.0,34
439,440,50,RL,67.0,12354,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Fa,Mn,684,GasA,Gd,Y,SBrkr,1196,3,1,Gd,7,Typ,0,Detchd,2,TA,Y,0,8,2009,ConLI,Normal,110000,1.0,46
440,441,20,RL,105.0,15431,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Ex,TA,PConc,Ex,TA,Gd,3094,GasA,Ex,Y,SBrkr,2402,2,1,Ex,10,Typ,2,Attchd,3,TA,Y,0,4,2009,WD,Normal,555000,3.0,242
441,442,90,RL,92.0,12108,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,270.0,TA,TA,CBlock,TA,TA,No,1440,GasA,TA,N,FuseF,1440,4,2,Fa,8,Typ,0,NA,0,NA,Y,0,9,2008,WD,Normal,118000,2.0,0
442,443,50,RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,1078,GasA,TA,Y,SBrkr,1573,3,1,TA,8,Typ,1,Detchd,2,TA,P,0,6,2008,WD,Normal,162900,2.0,0
443,444,120,RL,53.0,3922,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,72.0,Gd,TA,PConc,Ex,TA,Av,1258,GasA,Ex,Y,SBrkr,1258,2,1,Gd,6,Typ,1,Attchd,3,TA,Y,144,6,2007,New,Partial,172500,2.0,16
444,445,60,RL,70.0,8750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,TA,No,915,GasA,Ex,Y,SBrkr,1908,4,1,Gd,8,Typ,1,Attchd,2,TA,Y,144,7,2008,WD,Normal,210000,3.5,133
445,446,20,RL,73.0,9855,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,1436,GasA,Fa,Y,SBrkr,1689,3,1,TA,7,Typ,1,Attchd,2,TA,Y,0,11,2009,COD,Normal,127500,1.0,0
446,447,20,RL,137.0,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,1517,GasA,Ex,Y,SBrkr,1888,2,1,Gd,6,Mod,1,Attchd,2,TA,Y,0,6,2010,WD,Normal,190000,2.5,0
447,448,60,RL,69.0,11214,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,930,GasA,Gd,Y,SBrkr,1886,4,1,Gd,10,Typ,1,Attchd,2,TA,Y,89,7,2006,WD,Normal,199900,2.5,0
448,449,50,RM,50.0,8600,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,780,GasA,TA,Y,SBrkr,1376,3,1,TA,7,Typ,1,Detchd,1,TA,N,0,6,2006,WD,Normal,119500,2.0,0
449,450,50,RM,50.0,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,649,GasA,Ex,Y,SBrkr,1183,2,1,TA,6,Typ,0,Detchd,1,TA,Y,0,6,2007,WD,Normal,120000,1.5,176
450,451,30,RM,70.0,5684,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,813,GasA,Ex,Y,FuseA,813,2,1,Gd,5,Typ,0,Detchd,1,Fa,N,0,6,2006,WD,Normal,110000,1.0,113
451,452,20,RL,62.0,70761,Pave,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,1533,GasA,TA,Y,SBrkr,1533,2,1,Gd,5,Typ,2,Attchd,2,TA,Y,200,12,2006,WD,Normal,280000,3.0,54
452,453,60,RL,69.0,9303,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42.0,Gd,TA,PConc,Ex,TA,No,872,GasA,Ex,Y,SBrkr,1756,3,1,TA,7,Typ,0,Attchd,2,TA,Y,144,7,2007,WD,Normal,204000,3.5,122
453,454,60,FV,75.0,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,768,GasA,Ex,Y,SBrkr,1590,3,1,Gd,6,Typ,0,Attchd,2,TA,Y,0,6,2009,WD,Normal,210000,2.5,30
454,455,90,RL,63.0,9297,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,1728,GasA,TA,Y,SBrkr,1728,4,2,TA,8,Typ,0,Detchd,2,TA,Y,0,7,2006,WD,Family,188000,4.0,0
455,456,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,1242,GasA,Fa,Y,SBrkr,1242,3,1,TA,6,Typ,1,Attchd,2,TA,Y,0,9,2007,WD,Normal,175500,1.5,0
456,457,70,RM,34.0,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,624,GasA,Fa,N,SBrkr,1344,4,1,TA,7,Typ,0,Detchd,3,Fa,Y,0,5,2008,COD,Abnorml,98000,1.0,96
457,458,20,RL,69.0,53227,Pave,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,1364,GasA,Ex,Y,SBrkr,1663,2,1,Gd,6,Min1,2,Attchd,2,TA,Y,224,3,2008,WD,Normal,256000,2.0,137
